Zip_Code Population
89010 512
89019 1748
89046 354
89060 9373
89061 5360
89439 1465
90001 58738
90002 52856
90003 70490
90004 62733
90005 39562
90006 62329
90007 41221
90008 32359
90010 3759
90011 108051
90012 33783
90013 11957
90014 7408
90015 20187
90016 46303
90017 26390
90018 52287
90019 67415
90020 39191
90021 3158
90022 67446
90023 47229
90024 49718
90025 47453
90026 68609
90027 45616
90028 31054
90029 38843
90031 39103
90032 47766
90033 48841
90034 56070
90036 38116
90037 63238
90038 27957
90039 29092
90040 12925
90041 28651
90042 63788
90043 44571
90044 94680
90045 41420
90046 51615
90047 48491
90048 22860
90049 36362
90056 8014
90057 49389
90059 47351
90061 28003
90062 33627
90063 53556
90064 26007
90065 48420
90066 59747
90067 2235
90068 21726
90069 20401
90077 8936
90089 3846
90094 8568
90201 102878
90210 20016
90211 8019
90212 13207
90220 51713
90221 54259
90222 32585
90230 32657
90232 14865
90240 26339
90241 44097
90242 42922
90245 16929
90247 47969
90248 10899
90249 26286
90250 97371
90254 19750
90255 75636
90260 35614
90262 71306
90263 1868
90265 18119
90266 35698
90270 27597
90272 22927
90274 25374
90275 42606
90277 34922
90278 40808
90280 95420
90290 5714
90291 27170
90292 22328
90293 12762
90301 37518
90302 30892
90303 24658
90304 25937
90305 15574
90401 7485
90402 11681
90403 24764
90404 22586
90405 28305
90501 43008
90502 18010
90504 33422
90505 37368
90601 34025
90602 26482
90603 20697
90604 41369
90605 41818
90606 32599
90620 46038
90621 36074
90623 15882
90630 49249
90631 69579
90638 49797
90640 63547
90650 106404
90660 63694
90670 16642
90680 30530
90701 16912
90703 50877
90704 3940
90706 77852
90710 28667
90712 31471
90713 28927
90715 20313
90716 14409
90717 21740
90720 22318
90723 55020
90731 61789
90732 22408
90740 24443
90742 705
90744 56779
90745 57219
90746 26852
90755 11581
90802 40226
90803 32116
90804 40225
90805 96069
90806 42587
90807 32395
90808 38487
90810 38769
90813 60935
90814 18175
90815 40359
91001 37528
91006 33200
91007 34357
91008 1191
91010 26265
91011 20499
91016 42013
91020 8551
91024 11061
91030 25940
91040 20175
91042 26767
91101 20719
91103 28435
91104 39178
91105 11907
91106 25479
91107 32199
91108 13769
91201 23466
91202 23182
91203 14393
91204 18318
91205 37514
91206 34938
91207 10288
91208 17128
91210 835
91214 30991
91301 26028
91302 26500
91303 30380
91304 53627
91306 49551
91307 27233
91311 40064
91316 30888
91320 45852
91321 34510
91324 30101
91325 34240
91326 36804
91330 3306
91331 105696
91335 79687
91340 35771
91342 96177
91343 65964
91344 53453
91345 19022
91350 37149
91351 32661
91352 47934
91354 31027
91355 31645
91356 30346
91360 43389
91361 20826
91362 36071
91364 27031
91367 43370
91377 14440
91381 20530
91384 29283
91387 43319
91390 19521
91401 40995
91402 71317
91403 24677
91405 54770
91406 56200
91411 25210
91423 33641
91436 14794
91501 20892
91502 11645
91504 26558
91505 30997
91506 18245
91601 38379
91602 18944
91604 30642
91605 52386
91606 44352
91607 31383
91701 39628
91702 61739
91706 77819
91708 3154
91709 78025
91710 88862
91711 36933
91722 36557
91723 20193
91724 25755
91730 70545
91731 30063
91732 63557
91733 44989
91737 25759
91739 39069
91740 26067
91741 26610
91744 86982
91745 54166
91746 30640
91748 47114
91750 34017
91752 30716
91754 33114
91755 27942
91759 426
91761 60560
91762 59433
91763 38211
91764 53750
91765 47398
91766 72787
91767 49492
91768 36122
91770 63981
91773 34555
91775 25156
91776 38322
91780 35184
91784 25908
91786 53339
91789 44115
91790 45958
91791 33953
91792 29787
91801 54928
91803 30137
91901 18238
91902 19762
91905 1528
91910 76250
91911 84025
91913 49346
91914 17186
91915 32073
91916 1752
91917 1125
91931 370
91932 26713
91934 298
91935 8547
91941 32944
91942 40239
91945 26983
91950 62386
91962 2530
91963 957
91977 61377
91978 9829
91980 623
92003 5161
