Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,cars_id
Acura,MDX,SUV,Asia,All,"36,945","33,337",3.5,6,265,17,23,4451,106,189,AS785095
Acura,RSX Type S 2dr,Sedan,Asia,Front,"23,820","21,761",2,4,200,24,31,2778,101,172,AS351465
Acura,TSX 4dr,Sedan,Asia,Front,"26,990","24,647",2.4,4,200,22,29,3230,105,183,AS435026
Acura,TL 4dr,Sedan,Asia,Front,"33,195","30,299",3.2,6,270,20,28,3575,108,186,AS582360
Acura,3.5 RL 4dr,Sedan,Asia,Front,"43,755","39,014",3.5,6,225,18,24,3880,115,197,AS768398
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,"46,100","41,100",3.5,6,225,18,24,3893,115,197,AS812194
Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,"89,765","79,978",3.2,6,290,17,24,3153,100,174,AS1449257
Audi,A4 1.8T 4dr,Sedan,Europe,Front,"25,940","23,508",1.8,4,170,22,31,3252,104,179,AS427084
Audi,A41.8T convertible 2dr,Sedan,Europe,Front,"35,940","32,506",1.8,4,170,23,30,3638,105,180,AS656982
Audi,A4 3.0 4dr,Sedan,Europe,Front,"31,840","28,846",3,6,220,20,28,3462,104,179,AS557904
Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,All,"33,430","30,366",3,6,220,17,26,3583,104,179,AS607829
Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,All,"34,480","31,388",3,6,220,18,25,3627,104,179,AS636002
Audi,A6 3.0 4dr,Sedan,Europe,Front,"36,640","33,129",3,6,220,20,27,3561,109,192,AS614439
Audi,A6 3.0 Quattro 4dr,Sedan,Europe,All,"39,640","35,992",3,6,220,18,25,3880,109,192,AS727338
Audi,A4 3.0 convertible 2dr,Sedan,Europe,Front,"42,490","38,325",3,6,220,20,27,3814,105,180,AS812064
Audi,A4 3.0 Quattro convertible 2dr,Sedan,Europe,All,"44,240","40,075",3,6,220,18,25,4013,105,180,AS893450
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,Europe,All,"42,840","38,840",2.7,6,250,18,25,3836,109,192,AS775991
Audi,A6 4.2 Quattro 4dr,Sedan,Europe,All,"49,690","44,936",4.2,8,300,17,24,4024,109,193,AS936904
Audi,A8 L Quattro 4dr,Sedan,Europe,All,"69,190","64,740",4.2,8,330,17,24,4399,121,204,AS1396036
Audi,S4 Quattro 4dr,Sedan,Europe,All,"48,040","43,556",4.2,8,340,14,20,3825,104,179,AS930736
Audi,RS 6 4dr,Sports,Europe,Front,"84,600","76,417",4.2,8,450,15,22,4024,109,191,AS1609958
Audi,TT 1.8 convertible 2dr (coupe),Sports,Europe,Front,"35,940","32,512",1.8,4,180,20,28,3131,95,159,AS640221
